Date : 2024-05-14 20:45:48
Directory : c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas
Total : 145 files,  32081 codes, 238 comments, 6300 blanks, all 38619 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309164102_auctionComments.cs                                 | C#            |         44 |          3 |          4 |         51 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309182852_auctionCommentsv2.Designer.cs                      | C#            |        350 |          2 |        124 |        476 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309182852_auctionCommentsv2.cs                               | C#            |         64 |          3 |         13 |         80 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309185752_auctionCommentsv3.Designer.cs                      | C#            |        350 |          2 |        124 |        476 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309185752_auctionCommentsv3.cs                               | C#            |         16 |          3 |          6 |         25 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309190226_auctionCommentsv4.Designer.cs                      | C#            |        350 |          2 |        124 |        476 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309190226_auctionCommentsv4.cs                               | C#            |         16 |          3 |          5 |         24 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309193035_auctionCommentsv5.Designer.cs                      | C#            |        350 |          2 |        124 |        476 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240309193035_auctionCommentsv5.cs                               | C#            |         16 |          3 |          5 |         24 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240314092352_Report.Designer.cs                                 | C#            |        369 |          2 |        132 |        503 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240314092352_Report.cs                                          | C#            |         34 |          3 |          4 |         41 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240320203933_auctionPictures.Designer.cs                        | C#            |        372 |          2 |        133 |        507 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240320203933_auctionPictures.cs                                 | C#            |         25 |          3 |          3 |         31 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321090650_FixPRoblem.Designer.cs                             | C#            |        369 |          2 |        132 |        503 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321090650_FixPRoblem.cs                                      | C#            |         25 |          3 |          3 |         31 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321111253_PaypalConfirmation.Designer.cs                     | C#            |        371 |          2 |        133 |        506 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240321111253_PaypalConfirmation.cs                              | C#            |         24 |          3 |          3 |         30 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240322095802_RomovedPaypalEmail.Designer.cs                     | C#            |        369 |          2 |        132 |        503 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240322095802_RomovedPaypalEmail.cs                              | C#            |         24 |          3 |          3 |         30 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323144525_Payment.Designer.cs                                | C#            |        402 |          2 |        145 |        549 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323144525_Payment.cs                                         | C#            |         46 |          3 |          5 |         54 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323145205_UpdatePayment.Designer.cs                          | C#            |        404 |          2 |        146 |        552 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323145205_UpdatePayment.cs                                   | C#            |         25 |          3 |          3 |         31 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323164853_PaymentV3.Designer.cs                              | C#            |        410 |          2 |        148 |        560 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323164853_PaymentV3.cs                                       | C#            |         34 |          3 |          5 |         42 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323175511_PaymentV4.Designer.cs                              | C#            |        413 |          2 |        149 |        564 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240323175511_PaymentV4.cs                                       | C#            |         25 |          3 |          3 |         31 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240326163751_user_payment_info.Designer.cs                      | C#            |        438 |          2 |        161 |        601 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240326163751_user_payment_info.cs                               | C#            |        114 |          3 |         25 |        142 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240402152240_Photos.Designer.cs                                 | C#            |        441 |          2 |        162 |        605 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240402152240_Photos.cs                                          | C#            |         25 |          3 |          3 |         31 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416163615_AiModel.Designer.cs                                | C#            |        441 |          2 |        162 |        605 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416163615_AiModel.cs                                         | C#            |         16 |          3 |          5 |         24 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416163842_AiModelv2.Designer.cs                              | C#            |        456 |          2 |        169 |        627 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416163842_AiModelv2.cs                                       | C#            |         32 |          3 |          3 |         38 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416164500_AiModelv3.Designer.cs                              | C#            |        457 |          2 |        169 |        628 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416164500_AiModelv3.cs                                       | C#            |         30 |          3 |          3 |         36 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416164744_AiModelv4.Designer.cs                              | C#            |        459 |          2 |        170 |        631 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416164744_AiModelv4.cs                                       | C#            |         26 |          3 |          3 |         32 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416170216_AiModelv5.Designer.cs                              | C#            |        459 |          2 |        170 |        631 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416170216_AiModelv5.cs                                       | C#            |         16 |          3 |          5 |         24 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416191817_AiModelv6.Designer.cs                              | C#            |        474 |          2 |        176 |        652 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240416191817_AiModelv6.cs                                       | C#            |         66 |          3 |          7 |         76 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240417162726_AiModelv7.Designer.cs                              | C#            |        474 |          2 |        176 |        652 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240417162726_AiModelv7.cs                                       | C#            |         16 |          3 |          5 |         24 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240418131531_AiModelv8.Designer.cs                              | C#            |        477 |          2 |        177 |        656 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240418131531_AiModelv8.cs                                       | C#            |         25 |          3 |          3 |         31 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240418174717_CollectData.Designer.cs                            | C#            |        479 |          2 |        178 |        659 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240418174717_CollectData.cs                                     | C#            |         24 |          3 |          3 |         30 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419092148_ChatFunction.Designer.cs                           | C#            |        479 |          2 |        178 |        659 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419092148_ChatFunction.cs                                    | C#            |         16 |          3 |          5 |         24 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419093213_ChatFunctionv2.Designer.cs                         | C#            |        557 |          2 |        209 |        768 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419093213_ChatFunctionv2.cs                                  | C#            |         94 |          3 |         10 |        107 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419173713_ChatFunctionv3.Designer.cs                         | C#            |        517 |          2 |        194 |        713 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240419173713_ChatFunctionv3.cs                                  | C#            |         86 |          3 |         13 |        102 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240420100142_ChatFunctionv4.Designer.cs                         | C#            |        535 |          2 |        203 |        740 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240420100142_ChatFunctionv4.cs                                  | C#            |        114 |          3 |         23 |        140 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240420111413_Chatfunctionv5.Designer.cs                         | C#            |        526 |          2 |        197 |        725 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\20240420111413_Chatfunctionv5.cs                                  | C#            |         52 |          3 |         11 |         66 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Migrations\DataContextModelSnapshot.cs                                       | C#            |        526 |          1 |        197 |        724 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Auction.cs                                                            | C#            |         99 |          0 |          4 |        103 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Chat.cs                                                               | C#            |         12 |          0 |          1 |         13 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\DecodedPaymentToken.cs                                                | C#            |          8 |          0 |          1 |          9 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\EmailModel.cs                                                         | C#            |         17 |          0 |          1 |         18 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Message.cs                                                            | C#            |         13 |          0 |          1 |         14 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\PayPalAccessToken.cs                                                  | C#            |         11 |          0 |          1 |         12 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Payment.cs                                                            | C#            |         25 |          0 |          2 |         27 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Recommendations.cs                                                    | C#            |         20 |          0 |          2 |         22 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\Report.cs                                                             | C#            |         14 |          0 |          2 |         16 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Models\UserRecommendations.cs                                                | C#            |          9 |          0 |          1 |         10 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Program.cs                                                                   | C#            |        125 |          0 |         18 |        143 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Properties\launchSettings.json                                               | JSON          |         41 |          0 |          1 |         42 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\AuctionStatusService.cs                                             | C#            |         85 |          0 |         12 |         97 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\BiddingHub.cs                                                       | C#            |         99 |          0 |         11 |        110 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\CloudStorageService.cs                                              | C#            |         95 |          0 |          6 |        101 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\DailycoService.cs                                                   | C#            |        103 |          0 |          5 |        108 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\EmailService.cs                                                     | C#            |         45 |          0 |          3 |         48 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Services\RecommendationService.cs                                            | C#            |         27 |          0 |          5 |         32 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\AuctionRecommender.cs                                                  | C#            |        132 |          0 |         32 |        164 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\AuctionStatusChecker.cs                                                | C#            |         32 |          0 |          6 |         38 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\ConfigOptions\GCSConfigOptions.cs                                      | C#            |          8 |          0 |          4 |         12 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\EmailBody.cs                                                           | C#            |        148 |          0 |         10 |        158 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\Extensions.cs                                                          | C#            |         17 |          0 |          4 |         21 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\GetAucReq.cs                                                           | C#            |         17 |          0 |          9 |         26 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\IDailycoService.cs                                                     | C#            |          8 |          0 |          1 |          9 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\IEmailService.cs                                                       | C#            |          8 |          0 |          2 |         10 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\Utils\PaymentUtils.cs                                                        | C#            |         58 |          0 |          9 |         67 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\appsettings.Development.json                                                 | JSON          |         14 |          0 |          1 |         15 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\appsettings.json                                                             | JSON          |         36 |          0 |          1 |         37 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\Aukcionas.deps.json                                         | JSON          |      2,677 |          0 |          0 |      2,677 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\Aukcionas.runtimeconfig.json                                | JSON          |         21 |          0 |          0 |         21 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\appsettings.Development.json                                | JSON          |         14 |          0 |          1 |         15 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\bin\Debug\net8.0\appsettings.json                                            | JSON          |         36 |          0 |          1 |         37 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.EntityFrameworkCore.targets                             | MSBuild       |         28 |          0 |          1 |         29 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.nuget.dgspec.json                                       | JSON          |        143 |          0 |          0 |        143 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.nuget.g.props                                           | MSBuild       |         33 |          0 |          0 |         33 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Aukcionas.csproj.nuget.g.targets                                         | MSBuild       |         11 |          0 |          0 |         11 |
| c:\Users\Tautvydas\Desktop\Auction-master\Auction-master\Aukcionas\Aukcionas\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs              | C#            |          3 |          1 |          1 |          5 |
